year,state,office,candidate,party_detailed,winning_percentage
2008,ILLINOIS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,36.78
2008,INDIANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.95
2008,INDIANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,48.91
2008,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.93
2008,IOWA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,44.39
2008,KANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.61
2008,KANSAS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,41.65
2008,KENTUCKY,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,57.4
2008,KENTUCKY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,41.17
2008,LOUISIANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.56
2008,LOUISIANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,39.93
2008,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.71
2008,MAINE,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,40.38
2008,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92
2008,MARYLAND,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,36.47
2008,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.36
2008,MASSACHUSETTS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,35.73
2008,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.43
2008,MICHIGAN,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,40.96
2008,MINNESOTA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.06
2008,MINNESOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,43.82
2008,MISSISSIPPI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.18
2008,MISSISSIPPI,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,43.0
2008,MISSOURI,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.43
2008,MISSOURI,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.29
2008,MONTANA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.53
2008,MONTANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,47.27
2008,NEBRASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.53
2008,NEBRASKA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,41.6
2008,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.15
2008,NEVADA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,42.65
2008,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.13
2008,NEW HAMPSHIRE,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,44.52
2008,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.27
2008,NEW JERSEY,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,41.7
2008,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.91
2008,NEW MEXICO,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,41.78
2008,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.16
2008,NEW YORK,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,31.32
2008,NORTH CAROLINA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.7
2008,NORTH CAROLINA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,49.37
2008,NORTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.25
2008,NORTH DAKOTA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,44.62
2008,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.5
2008,OHIO,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,46.91
2008,OKLAHOMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,65.65
2008,OKLAHOMA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,34.35
2008,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.75
2008,OREGON,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,40.4
2008,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.49
2008,PENNSYLVANIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,44.17
2008,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.86
2008,RHODE ISLAND,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,35.06
2008,SOUTH CAROLINA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.87
2008,SOUTH CAROLINA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,44.9
2008,SOUTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.16
2008,SOUTH DAKOTA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,44.75
2008,TENNESSEE,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.9
2008,TENNESSEE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,41.83
2008,TEXAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.45
2008,TEXAS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,43.68
2008,UTAH,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,62.58
2008,UTAH,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,34.41
2008,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,67.46
2008,VERMONT,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,30.45
2008,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.63
2008,VIRGINIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,46.33
2008,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.65
2008,WASHINGTON,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,40.48
2008,WEST VIRGINIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.71
2008,WEST VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,42.59
2008,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.22
2008,WISCONSIN,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,42.31
2008,WYOMING,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,64.71
2008,WYOMING,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,32.51
2012,ALABAMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55
2012,ALABAMA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,38.36
2012,ALASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8
2012,ALASKA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,40.81
2012,ARIZONA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65
2012,ARIZONA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,44.59
2012,ARKANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57
2012,ARKANSAS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,36.88
2012,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24
2012,CALIFORNIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,37.12
2012,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49
2012,COLORADO,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,46.13
2012,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09
2012,CONNECTICUT,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,40.75
2012,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61
2012,DELAWARE,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,39.98
2012,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91
2012,DISTRICT OF COLUMBIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,7.28
2012,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01
2012,FLORIDA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,49.13
2012,GEORGIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33
2012,GEORGIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,45.51
2012,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15
2012,HAWAII,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,27.68
2012,IDAHO,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53
2012,IDAHO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,32.62
2012,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6
2012,ILLINOIS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,40.73
2012,INDIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13
2012,INDIANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,43.93
2012,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99
2012,IOWA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,46.18
2012,KANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71
2012,KANSAS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,37.99
2012,KENTUCKY,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49
2012,KENTUCKY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,37.8
2012,LOUISIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78
2012,LOUISIANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,40.58
2012,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37
2012,MAINE,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,40.33
2012,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97
2012,MARYLAND,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,35.9
2012,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34
2012,MASSACHUSETTS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,37.32
2012,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21
2012,MICHIGAN,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.71
2012,MINNESOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96
2012,MISSISSIPPI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29
2012,MISSISSIPPI,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,43.79
2012,MISSOURI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76
2012,MISSOURI,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,44.38
2012,MONTANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35
2012,MONTANA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,41.7
2012,NEBRASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8
2012,NEBRASKA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,38.03
2012,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36
2012,NEVADA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,45.68
2012,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98
2012,NEW HAMPSHIRE,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,46.4
2012,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34
2012,NEW JERSEY,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,40.62
2012,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99
2012,NEW MEXICO,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,42.84
2012,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76
2012,NEW YORK,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,31.24
2012,NORTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39
2012,NORTH CAROLINA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,48.35
2012,NORTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32
2012,NORTH DAKOTA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,38.7
2012,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67
2012,OHIO,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,47.69
2012,OKLAHOMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77
2012,OKLAHOMA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,33.23
2012,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24
2012,OREGON,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,42.15
2012,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08
2012,PENNSYLVANIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,46.68
2012,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7
2012,RHODE ISLAND,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,35.24
2012,SOUTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56
2012,SOUTH CAROLINA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,44.09
2012,SOUTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89
2012,SOUTH DAKOTA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,39.87
2012,TENNESSEE,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48
2012,TENNESSEE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,39.08
2012,TEXAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17
2012,TEXAS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,41.38
2012,UTAH,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79
2012,UTAH,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,24.75
2012,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57
2012,VERMONT,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,30.97
2012,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16
2012,VIRGINIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,47.28
2012,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.16
2012,WASHINGTON,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,41.29
2012,WEST VIRGINIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,62.3
2012,WEST VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,35.54
2012,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.78
2012,WISCONSIN,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,45.94
2012,WYOMING,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,68.19
2012,WYOMING,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,27.64
2016,ALABAMA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08
2016,ALABAMA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,34.36
2016,ALASKA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28
2016,ALASKA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,36.55
2016,ARIZONA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67
2016,ARIZONA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,45.13
2016,ARIZONA,US PRESIDENT,,DEMOCRAT,0.0
2016,ARKANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57
2016,ARKANSAS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,33.65
2016,CALIFORNIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73
2016,CALIFORNIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,31.62
2016,COLORADO,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16
2016,COLORADO,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,43.25
2016,CONNECTICUT,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57
2016,CONNECTICUT,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,40.93
2016,DELAWARE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35
2016,DELAWARE,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,41.92
2016,DISTRICT OF COLUMBIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48
2016,DISTRICT OF COLUMBIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,4.07
2016,FLORIDA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02
2016,FLORIDA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,47.82
2016,GEORGIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77
2016,GEORGIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,45.64
2016,HAWAII,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98
2016,HAWAII,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,29.44
2016,IDAHO,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26
2016,IDAHO,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,27.49
2016,ILLINOIS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83
2016,ILLINOIS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,38.76
2016,INDIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94
2016,INDIANA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,37.77
2016,IOWA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16
2016,IOWA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,41.75
2016,KANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65
2016,KANSAS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,36.05
2016,KENTUCKY,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52
2016,KENTUCKY,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,32.68
2016,LOUISIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.09
2016,LOUISIANA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,38.45
2016,MAINE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.35
2016,MAINE,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,43.48
2016,MARYLAND,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.33
2016,MARYLAND,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,33.91
2016,MARYLAND,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,0.01
2016,MARYLAND,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,0.0
2016,MASSACHUSETTS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,59.05
2016,MASSACHUSETTS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,32.29
2016,MICHIGAN,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.5
2016,MICHIGAN,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,47.27
2016,MINNESOTA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.45
2016,MINNESOTA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,44.93
2016,MISSISSIPPI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.94
2016,MISSISSIPPI,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,40.11
2016,MISSOURI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.77
2016,MISSOURI,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,38.14
2016,MONTANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.47
2016,MONTANA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,35.94
2016,NEBRASKA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.75
2016,NEBRASKA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,33.7
2016,NEVADA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,47.92
2016,NEVADA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,45.5
2016,NEW HAMPSHIRE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.83
2016,NEW HAMPSHIRE,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,46.46
2016,NEW JERSEY,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.45
2016,NEW JERSEY,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,41.35
2016,NEW MEXICO,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.26
2016,NEW MEXICO,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,40.04
2016,NEW YORK,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,56.14
2016,NEW YORK,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,32.39
2016,NORTH CAROLINA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.83
2016,NORTH CAROLINA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.17
2016,NORTH DAKOTA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.96
2016,NORTH DAKOTA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,27.23
2016,OHIO,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.69
2016,OHIO,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,43.56
2016,OKLAHOMA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.32
2016,OKLAHOMA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,28.93
2016,OREGON,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,50.07
2016,OREGON,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,39.09
2016,PENNSYLVANIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.58
2016,PENNSYLVANIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,47.85
2016,RHODE ISLAND,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.41
2016,RHODE ISLAND,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,38.9
2016,SOUTH CAROLINA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,54.94
2016,SOUTH CAROLINA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,40.67
2016,SOUTH DAKOTA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,61.53
2016,SOUTH DAKOTA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,31.74
2016,TENNESSEE,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.72
2016,TENNESSEE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,34.72
2016,TEXAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.23
2016,TEXAS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,43.24
2016,UTAH,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,45.54
2016,UTAH,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,27.46
2016,VERMONT,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.72
2016,VERMONT,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,29.76
2016,VIRGINIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,49.75
2016,VIRGINIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,44.43
2016,WASHINGTON,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,52.54
